event_id,method
8215e4fe24e8e81b,SUB
8215e4fe24e8e81b,SUB
8215e4fe24e8e81b,M-DEC
8215e4fe24e8e81b,M-DEC
8215e4fe24e8e81b,S-DEC
8215e4fe24e8e81b,SUB
ac5f67109accb482,U-DEC
ac5f67109accb482,SUB
ac5f67109accb482,U-DEC
ac5f67109accb482,U-DEC
ac5f67109accb482,KO/TKO
ac5f67109accb482,KO/TKO
ac5f67109accb482,KO/TKO
ac5f67109accb482,KO/TKO
ac5f67109accb482,SUB
ac5f67109accb482,U-DEC
ac5f67109accb482,S-DEC
ac5f67109accb482,SUB
ac5f67109accb482,S-DEC
2eae41f61776c60f,S-DEC
2eae41f61776c60f,U-DEC
2eae41f61776c60f,U-DEC
2eae41f61776c60f,U-DEC
2eae41f61776c60f,U-DEC
2eae41f61776c60f,KO/TKO
2eae41f61776c60f,S-DEC
2eae41f61776c60f,S-DEC
2eae41f61776c60f,KO/TKO
2eae41f61776c60f,KO/TKO
2eae41f61776c60f,S-DEC
2eae41f61776c60f,SUB
2eae41f61776c60f,KO/TKO
d29b5c4f22c6357d,KO/TKO
d29b5c4f22c6357d,SUB
d29b5c4f22c6357d,KO/TKO
d29b5c4f22c6357d,KO/TKO
d29b5c4f22c6357d,SUB
d29b5c4f22c6357d,S-DEC
d29b5c4f22c6357d,U-DEC
d29b5c4f22c6357d,U-DEC
d29b5c4f22c6357d,U-DEC
d29b5c4f22c6357d,U-DEC
d29b5c4f22c6357d,SUB
d29b5c4f22c6357d,KO/TKO
f5990c11974d8e9c,U-DEC
f5990c11974d8e9c,KO/TKO
f5990c11974d8e9c,SUB
f5990c11974d8e9c,Other - Choke
f5990c11974d8e9c,S-DEC
f5990c11974d8e9c,SUB
f5990c11974d8e9c,KO/TKO
f5990c11974d8e9c,KO/TKO
f5990c11974d8e9c,U-DEC
f5990c11974d8e9c,S-DEC
f5990c11974d8e9c,SUB
f5990c11974d8e9c,U-DEC
3144121470023e9a,U-DEC
3144121470023e9a,SUB
3144121470023e9a,KO/TKO
3144121470023e9a,U-DEC
3144121470023e9a,U-DEC
3144121470023e9a,KO/TKO
3144121470023e9a,S-DEC
3144121470023e9a,U-DEC
3144121470023e9a,KO/TKO
3144121470023e9a,KO/TKO
3144121470023e9a,U-DEC
3144121470023e9a,U-DEC
3144121470023e9a,SUB
67ec58d7cf599835,KO/TKO
67ec58d7cf599835,S-DEC
67ec58d7cf599835,SUB
67ec58d7cf599835,KO/TKO
67ec58d7cf599835,KO/TKO
67ec58d7cf599835,SUB
67ec58d7cf599835,SUB
67ec58d7cf599835,Other - Choke
67ec58d7cf599835,SUB
67ec58d7cf599835,KO/TKO
67ec58d7cf599835,KO/TKO
67ec58d7cf599835,KO/TKO
67ec58d7cf599835,U-DEC
67ec58d7cf599835,SUB
ad99fa5325519169,KO/TKO
ad99fa5325519169,U-DEC
ad99fa5325519169,U-DEC
ad99fa5325519169,KO/TKO
ad99fa5325519169,U-DEC
ad99fa5325519169,KO/TKO
ad99fa5325519169,U-DEC
ad99fa5325519169,KO/TKO
ad99fa5325519169,KO/TKO
ad99fa5325519169,U-DEC
ad99fa5325519169,U-DEC
620be7e0712d431b,KO/TKO
620be7e0712d431b,SUB
620be7e0712d431b,S-DEC
620be7e0712d431b,S-DEC
620be7e0712d431b,SUB
620be7e0712d431b,KO/TKO
620be7e0712d431b,U-DEC
620be7e0712d431b,KO/TKO
620be7e0712d431b,KO/TKO
620be7e0712d431b,U-DEC
620be7e0712d431b,U-DEC
620be7e0712d431b,SUB
620be7e0712d431b,KO/TKO
620be7e0712d431b,U-DEC
49e7e05f902479ca,U-DEC
49e7e05f902479ca,U-DEC
49e7e05f902479ca,U-DEC
49e7e05f902479ca,U-DEC
49e7e05f902479ca,KO/TKO
49e7e05f902479ca,S-DEC
49e7e05f902479ca,KO/TKO
49e7e05f902479ca,U-DEC
49e7e05f902479ca,U-DEC
eed2b71d77d95416,KO/TKO
eed2b71d77d95416,U-DEC
eed2b71d77d95416,U-DEC
eed2b71d77d95416,KO/TKO
eed2b71d77d95416,SUB
eed2b71d77d95416,KO/TKO
eed2b71d77d95416,SUB
eed2b71d77d95416,SUB
eed2b71d77d95416,S-DEC
eed2b71d77d95416,SUB
7929be8290289a47,KO/TKO
7929be8290289a47,KO/TKO
7929be8290289a47,U-DEC
7929be8290289a47,U-DEC
7929be8290289a47,S-DEC
7929be8290289a47,S-DEC
7929be8290289a47,KO/TKO
7929be8290289a47,S-DEC
7929be8290289a47,DQ
7929be8290289a47,KO/TKO
7929be8290289a47,S-DEC
7929be8290289a47,S-DEC
daa89f01e1c0f42a,KO/TKO
daa89f01e1c0f42a,U-DEC
daa89f01e1c0f42a,SUB
daa89f01e1c0f42a,U-DEC
daa89f01e1c0f42a,U-DEC
daa89f01e1c0f42a,SUB
daa89f01e1c0f42a,U-DEC
daa89f01e1c0f42a,KO/TKO
daa89f01e1c0f42a,KO/TKO
daa89f01e1c0f42a,SUB
daa89f01e1c0f42a,U-DEC
daa89f01e1c0f42a,SUB
d181689653115b6a,KO/TKO
d181689653115b6a,KO/TKO
d181689653115b6a,U-DEC
d181689653115b6a,KO/TKO
d181689653115b6a,U-DEC
d181689653115b6a,U-DEC
d181689653115b6a,KO/TKO
d181689653115b6a,SUB
