id,name,height,weight,reach,dob,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum
fb1538b46877a695,Jonathan Goulet,6'0",170,73,1979,1.61,41,2.01,46,.4.17,70,45,..0.6,4,5,-1,-2
a2b12c3f3d60ff69,Alex Garcia,5'9",170,72,1987,1.81,31,3.03,59,.3.72,52,66,..0.1,5,5,0,-2
1bda4867f1baceac,Kier Gooch,,155,,1986,0.00,0,0.00,0,.0.00,0,0,..0.0,0,1,-1,-1
3e03cec9767d37e6,He-Man Gipson,,,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,0,1,-1,-1
e15d0a2519d6a0b5,Marcos Galvao,5'7",135,,1981,1.97,32,3.86,61,.2.27,28,88,..1.1,0,2,-2,-2
84283233ec42be5f,Ralek Gracie,6'2",210,,1985,1.61,46,1.05,55,.2.50,75,0,..1.7,2,0,2,2
e7f51d9f9e9259e7,Thomas Gifford,6'1",155,75,1992,3.97,37,6.45,37,.0.50,33,33,..0.0,0,2,-2,-2
4f7e290e71d60f87,Rulon Gardner,6'3",265,,1971,2.05,25,1.45,60,.0.75,100,100,..0.0,1,0,1,1
52d92050a046bc17,Crosley Gracie,5'9",190,,1979,1.69,37,1.54,60,.3.46,85,50,..0.6,1,1,0,-1
e4770d5ed44a3970,Brian Gassaway,6'1",170,,1972,0.34,26,3.65,44,.0.00,0,42,..0.0,0,2,-2,-2
db8b800176d26f6e,Kenny Giddens,5'11",155,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,1,0,1,1
af1e5c64b8663aa0,Sergio Gomez,5'6",155,,1982,1.50,42,1.16,56,.2.57,66,31,..0.0,0,2,-2,-2
fdf18227faa596dd,Chad Griggs,6'1",205,73,1978,2.67,50,2.22,46,.1.51,66,41,..0.0,3,2,1,-2
234f3767ff0e5701,Kendall Grove,6'6",185,79,1982,2.31,41,2.40,54,.0.49,45,56,..1.7,7,6,1,-2
8377c5572cb356f3,Fabio Gurgel,6'0",205,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,0,1,-1,-1
429e7d3725852ce9,Royce Gracie,6'1",175,,1966,0.88,41,1.13,37,.0.00,0,66,..0.8,13,2,11,1
887961364be5ceb3,Bobby Green,5'10",155,71,1986,5.88,52,3.65,62,.1.34,38,72,..0.3,14,10,4,-1
36a432f22144843e,Neil Grove,6'6",265,,1971,0.00,0,0.00,0,.0.00,0,100,..14.3,0,1,-1,-1
8be158ca1e5ea6a0,Dwight Grant,6'1",185,76,1984,3.29,36,2.66,60,.0.61,100,66,..0.0,4,5,-1,-3
ce175eaafe867d1f,Micheal Gillmore,5'11",170,72,1987,2.04,57,3.02,43,.0.00,0,50,..0.0,0,2,-2,-2
7026eca45f65377b,Jared Gordon,5'9",155,68,1988,5.53,58,3.11,57,.1.97,39,58,..0.0,7,4,3,1
fbbde91f7bc2d3c5,Gary Goodridge,6'3",249,,1966,1.84,56,2.14,48,.0.40,100,53,..0.8,14,16,-2,-3
10559c53de0b950e,Joey Gambino,5'7",145,,1988,2.47,35,2.53,51,.0.00,0,42,..0.8,0,2,-2,-2
3956bdc8ab2e54b3,John Gunther,5'9",155,72,1985,1.65,37,3.72,46,.7.08,42,0,..0.0,1,1,0,-1
a1b0715c4fd2dbd3,Azamat Gashimov,5'6",125,,1990,1.24,21,4.75,53,.1.69,25,0,..0.0,0,2,-2,-2
9e50097a89442158,Mickey Gall,6'2",170,74,1992,2.94,46,4.25,49,.1.21,30,36,..1.9,6,5,1,-2
