id,name,height,weight,reach,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum,elo,best_elo,avg_opp_elo
fbf0947399d14323,Ken Stone,68,135,71,3.85,49,2.9,48,1.24,33,60,0.6,2,3,-1,-1,1261.83,1311.79,1113.9
8d477c3fbe001f9d,Ryan Stonitsch,69,170,75,2.53,36,2.53,71,0,0,0,0,0,1,-1,-1,1248.81,1311.64,1080.39
5b5307450405abf0,Rick Story,69,170,71,3.8,41,2.17,62,2.53,48,63,0.9,12,7,5,-1,1555.62,1633.21,1387.31
025f0b1b58fbad01,Darko Stosic,72,205,76,2.8,56,1.24,75,0,0,100,0,1,0,1,1,1437.93,1437.93,1102.22
e09dbbd5fe3f0fe2,Curtis Stout,73,185,75,0.69,67,3.2,29,0,0,20,0,0,4,-4,-4,1047.2,1279.98,1166.14
501b07aec9b8fc2d,Sam Stout,69,155,70,4.17,28,4.08,57,0.63,38,77,0.1,9,11,-2,-3,1267.24,1467.49,1273.28
980b4e712489098e,Dave Strasser,70,170,75,3.04,45,1.88,59,0.72,33,33,0,1,2,-1,-2,1248.31,1364.2,1110.65
15347cd4cdf01b03,Daniel Straus,67,145,71,4.76,43,2.99,57,0.84,15,81,1.1,0,0,0,0,1600.89,1718.26,1309.68
0d8011111be000b2,Sean Strickland,73,170,76,4.34,35,3.62,64,1.37,57,81,0.5,7,3,4,1,1567.82,1616,1278.83
523f6ad11dbe9b53,Hans Stringer,75,205,73,3.16,61,2.84,41,2.4,36,62,0,1,2,-1,-2,1268.73,1446.54,1139.5
ebc1f40e00e0c481,Stefan Struve,83,265,84,3.14,45,3.92,47,0.54,50,54,1.8,12,9,3,-3,1399.77,1564.31,1236.38
c0c36a5b3d5bbdd5,Mike Stumpf,70,170,71,3.34,43,8.85,47,1.59,25,33,0.8,0,2,-2,-2,1212.28,1320.32,1061.38
b08012bbe542592a,Tatiana Suarez,65,115,67,4.75,73,0.72,42,7.5,81,100,0.8,4,0,4,4,1493.68,1493.68,1185.97
3a7513372f79c8c8,Masanori Suda,69,183,75,1.8,50,1.2,63,0,0,60,0,0,1,-1,-1,1248.95,1337.97,1103.33
99dd0147dc4ef80c,Genki Sudo,69,155,75,1.55,39,2.23,33,3.58,60,50,4.2,2,1,1,1,1379.01,1386.92,1108.94
06c60fc2c8dcd7bd,Takashi Sugiura,71,225,75,1.37,40,2.08,53,1.33,66,0,0,1,1,0,1,919.57,1009.13,1015.15
6c7e25571490aa3b,George Sullivan,72,170,73,3.53,39,2.42,57,1.37,20,38,0.7,3,4,-1,-3,1310.86,1513.32,1187.88
7aa88401f93ce836,Amar Suloev,69,183,75,1.98,37,2.19,70,0.27,100,88,0.3,2,4,-2,-1,1441.57,1464.06,1151.1
31f9a1f56cbb6ac5,Justin Sumter,74,185,80,1.38,50,2.77,37,4.15,100,0,0,0,0,0,0,1241.63,1270.13,1116.51
bcad7223af3c19da,Martin Svensson,73,155,72,2.02,38,5.91,38,0,0,0,0,0,1,-1,-1,1398.91,1435.78,1187.25
d247691a6c0e9034,Cub Swanson,68,145,70,4.16,49,3.28,62,1.17,52,60,0.5,15,9,6,-3,1536.57,1695.02,1340.91
9fe85152f351e737,Mike Swick,73,170,77,2.36,37,2.29,54,1.06,50,61,0.6,12,6,6,-2,1374.5,1569.24,1309.28
5330fe7e4c3af81c,Floyd Sword,72,185,75,0.78,42,1.57,40,0,0,33,0,0,1,-1,-1,1276.47,1276.47,1075.85
abd2109bc4cb0291,Bentley Syler,64,125,68,1.3,18,1.73,79,0,0,75,0,0,1,-1,-1,1160.47,1236.65,1031.74
2a542ee8a8b83559,Tim Sylvia,80,265,80,4.23,41,2.61,61,0.11,100,75,0.1,9,5,4,-2,1284.35,1606.55,1223.69
b4537562f88ac582,Khalid Taha,65,145,69,2.13,56,3,34,0,0,45,0,0,1,-1,1,1338.12,1383.01,1114.84
9bf126927843e184,Joe Taimanglo,64,135,75,4.18,42,4.55,59,5.45,40,100,1.4,0,0,0,0,1441.37,1479.92,1138.45
8f5c8850b2484173,Mairbek Taisumov,69,155,73,2.88,41,2.02,63,1.66,77,87,0,7,1,6,6,1642.23,1642.23,1210.35
a25b71fe5e31fa97,Nobuhiko Takada,72,220,75,0.31,24,1.92,39,1.15,20,0,0,2,6,-4,-1,1021.5,1086.93,1235.37
