,id,name,id_opp,name_opp,event_id,event_name,elo,elo_opp,height_diff,reach_diff,ss_min_diff,str_acc_diff,str_a_min_diff,str_def_diff,td_avg_diff,td_acc_diff,td_def_diff,sub_avg_diff,wins_diff,losses_diff,momentum_diff,wl_diff_diff,outcome
17,b361180739bed4b0,David Abbott,271fe91f4ba9d2c5,Don Frye,9b5b5a75523728f3,UFC - Ultimate Ultimate '96,1000.0,1024.8825817701884,-1.0,-0.0,-1.52,-34.0,-0.020000000000000018,1.0,0.16000000000000003,-24.0,21.0,-0.7,-4.0,8.0,-3.0,-12.0,L
18,6420efac0578988b,Yoshiki Takahashi,da6dfd09cca1d705,Wallid Ismail,96eff1a628adcc7f,UFC 12: Judgement Day,1000.0,1000.0,4.0,0.0,1.3399999999999999,20.0,5.64,0.0,-1.85,-28.0,66.0,1.7999999999999998,0.0,0.0,-2.0,0.0,W
19,da6dfd09cca1d705,Wallid Ismail,6420efac0578988b,Yoshiki Takahashi,96eff1a628adcc7f,UFC 12: Judgement Day,1000.0,1000.0,-4.0,-0.0,-1.3399999999999999,-20.0,-5.64,0.0,1.85,28.0,-66.0,-1.7999999999999998,0.0,0.0,2.0,0.0,L
20,0ee783aa00e468f0,Vitor Belfort,1dab0d1d81dd06db,Tra Telligman,96eff1a628adcc7f,UFC 12: Judgement Day,1000.0,1000.0,-2.0,-1.0,-0.24,11.0,-0.18999999999999995,-6.0,0.15000000000000002,-40.0,-27.0,0.6,22.0,9.0,1.0,13.0,W
21,1dab0d1d81dd06db,Tra Telligman,0ee783aa00e468f0,Vitor Belfort,96eff1a628adcc7f,UFC 12: Judgement Day,1000.0,1000.0,2.0,1.0,0.24,-11.0,0.18999999999999995,6.0,-0.15000000000000002,40.0,27.0,-0.6,-22.0,-9.0,-1.0,-13.0,L
22,946f341df6472ee0,Guy Mezger,2f732dd9210d301f,Tito Ortiz,5bd533d50c8e7b8a,UFC 13: The Ultimate Force,1000.0,1000.0,-2.0,1.8769230769230774,-0.29000000000000004,-14.0,-1.5199999999999998,12.0,-2.08,15.0,34.0,-0.6,-7.0,-4.0,2.0,-3.0,W
23,2f732dd9210d301f,Tito Ortiz,946f341df6472ee0,Guy Mezger,5bd533d50c8e7b8a,UFC 13: The Ultimate Force,1000.0,1000.0,2.0,-1.8769230769230774,0.29000000000000004,14.0,1.5199999999999998,-12.0,2.08,-15.0,-34.0,0.6,7.0,4.0,-2.0,3.0,L
24,0ee783aa00e468f0,Vitor Belfort,b361180739bed4b0,David Abbott,5bd533d50c8e7b8a,UFC 13: The Ultimate Force,1030.0,972.1448689811102,0.0,-1.0,0.24,16.0,-0.7199999999999998,12.0,-0.050000000000000044,27.0,-13.0,0.6,16.0,1.0,6.0,15.0,W
25,b361180739bed4b0,David Abbott,0ee783aa00e468f0,Vitor Belfort,5bd533d50c8e7b8a,UFC 13: The Ultimate Force,972.1448689811102,1030.0,0.0,1.0,-0.24,-16.0,0.7199999999999998,-12.0,0.050000000000000044,-27.0,13.0,-0.6,-16.0,-1.0,-6.0,-15.0,L
26,a7b48e18ca27795d,Mark Kerr,f348d05403fad037,Dan Bobish,dc950d59dc590aca,UFC 14: Showdown,1000.0,1000.0,1.0,0.0,-1.78,-3.0,-0.85,-6.0,0.48,35.0,0.0,-1.2000000000000002,9.0,1.0,-1.0,8.0,W
27,f348d05403fad037,Dan Bobish,a7b48e18ca27795d,Mark Kerr,dc950d59dc590aca,UFC 14: Showdown,1000.0,1000.0,-1.0,-0.0,1.78,3.0,0.85,6.0,-0.48,-35.0,0.0,1.2000000000000002,-9.0,-1.0,1.0,-8.0,L
28,33e33d51f289d2a1,Maurice Smith,21b8a0f5c231096f,Mark Coleman,dc950d59dc590aca,UFC 14: Showdown,1000.0,1057.63912595561,1.0,0.0,-1.47,-6.0,-2.1500000000000004,20.0,-3.0,10.0,-30.0,0.09999999999999998,-10.0,-7.0,2.0,-3.0,W
29,21b8a0f5c231096f,Mark Coleman,33e33d51f289d2a1,Maurice Smith,dc950d59dc590aca,UFC 14: Showdown,1057.63912595561,1000.0,-1.0,-0.0,1.47,6.0,2.1500000000000004,-20.0,3.0,-10.0,30.0,-0.09999999999999998,10.0,7.0,-2.0,3.0,L
30,0aa92558424ced9e,Randy Couture,0ee783aa00e468f0,Vitor Belfort,07a18ae55dfc3cd9,UFC 15: Collision Course,1000.0,1055.0500545078442,1.0,1.0,1.26,11.0,-1.3,9.0,1.7599999999999998,-14.0,5.0,-0.09999999999999998,-8.0,-5.0,0.0,-3.0,W
31,0ee783aa00e468f0,Vitor Belfort,0aa92558424ced9e,Randy Couture,07a18ae55dfc3cd9,UFC 15: Collision Course,1055.0500545078442,1000.0,-1.0,-1.0,-1.26,-11.0,1.3,-9.0,-1.7599999999999998,14.0,-5.0,0.09999999999999998,8.0,5.0,0.0,3.0,L
32,33e33d51f289d2a1,Maurice Smith,b361180739bed4b0,David Abbott,07a18ae55dfc3cd9,UFC 15: Collision Course,1034.9318000291948,947.0948144732661,2.0,0.0,-0.9400000000000002,16.0,-3.08,22.0,-0.18000000000000005,17.0,-46.0,0.9,-2.0,-10.0,8.0,8.0,W
