,id,name,height,weight,reach,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum
989,184b7a36d50dcc5e,Chelsea Hackett,64,125.0,66.0,2.58,51,4.85,46,0.0,0,57,0.0,0,1,-1,-1
990,60a42bf82447c919,Jake Hadley,67,125.0,70.0,1.47,38,1.73,70,0.65,100,42,1.9,1,1,0,-1
991,38c626ca912c7bac,Damir Hadzovic,69,155.0,70.0,3.36,48,3.26,62,0.78,55,34,0.2,4,5,-1,-1
992,219a254e15d60135,Tim Hague,76,260.0,76.0,2.79,47,4.14,46,1.72,33,85,0.9,1,4,-3,-4
993,4955c524c2a71469,Yazan Hajeh,69,145.0,75.75,1.54,25,17.44,44,0.0,0,100,0.0,0,1,-1,-1
994,439d4bbefd4e6940,Kevin Haley,74,205.0,75.875,0.87,59,0.87,64,3.0,100,0,2.0,0,0,0,0
995,65578a75fa7900e3,Uriah Hall,72,185.0,79.0,3.23,48,3.85,54,0.54,38,64,0.1,10,9,1,-2
996,8866c6f509c19089,Ryan Hall,70,145.0,70.0,2.38,50,1.33,65,0.22,9,0,2.2,5,1,4,1
997,8a8a84b743ae7699,Dennis Hallman,69,155.0,72.0,1.12,44,1.96,43,1.79,30,25,2.1,6,6,0,1
998,a3be148af5c7b088,Piotr Hallmann,69,155.0,71.0,3.98,45,3.17,58,2.55,44,70,0.4,2,4,-2,-3
999,e763679f15326ae1,Brandon Halsey,72,185.0,75.75,1.74,47,0.87,65,4.98,53,100,1.2,0,0,0,0
1000,88c8f47241d90040,John Halverson,69,155.0,75.75,2.94,43,5.29,47,0.0,0,66,2.0,0,2,-2,-2
1001,165c244bcca3ed26,Seo Hee Ham,62,115.0,62.0,4.2,39,5.15,61,0.0,0,66,0.2,1,3,-2,-2
1002,1b4d6971bb18b82c,Kazuhiro Hamanaka,72,185.0,75.75,1.7,37,0.91,60,0.0,0,50,0.0,1,1,0,-1
1003,98b80a717b9bda17,Matt Hamill,73,205.0,76.0,3.69,42,3.8,61,3.0,34,91,0.0,10,5,5,-1
1004,7da5839b223f3728,CJ Hamilton,67,125.0,68.0,2.47,31,3.93,58,0.0,0,62,0.0,0,1,-1,-1
1005,c727c7d31c50c4cf,Anthony Hamilton,77,260.0,76.0,3.91,65,3.02,45,2.62,42,78,0.0,3,7,-4,-4
1006,23459ee7e373b98f,Jared Hamman,75,185.0,75.0,5.15,42,3.93,55,1.57,46,30,0.0,3,5,-2,-3
1007,1f77fce698e80488,James Hammortree,75,185.0,75.75,1.93,30,4.13,44,2.0,50,100,1.0,0,1,-1,-1
1008,86e388ed20761ad9,Joachim Hansen,67,150.0,75.75,2.01,43,2.04,58,2.21,58,34,1.9,9,7,2,-1
1009,4100c7a09497ad41,Kay Hansen,62,115.0,63.0,3.01,50,3.19,51,1.83,22,37,0.8,1,3,-2,-3
1010,b7b84ccd221be298,Nasrat Haqparast,70,155.0,72.0,5.17,45,4.7,66,0.13,14,78,0.0,5,4,1,-2
1011,69b69c0178c4004d,Antoni Hardonk,76,245.0,78.0,3.4,61,3.07,46,0.0,0,40,0.9,4,4,0,-2
1012,473ce3aa581251a2,Dan Hardy,72,170.0,74.0,2.46,35,3.44,51,0.73,35,35,0.4,6,4,2,2
1013,85073dbd1be65ed9,Greg Hardy,77,265.0,80.0,4.79,50,3.31,55,0.2,33,64,0.0,6,5,1,-3
1014,14a433bccba87016,Scott Harper,72,185.0,75.75,1.3,54,4.98,47,3.25,100,0,0.0,0,1,-1,-1
1015,ba043b03eb799063,Phil Harris,64,125.0,65.0,2.34,26,3.16,68,1.76,21,60,0.0,1,3,-2,-1
1016,03f982ca3735070c,Walt Harris,77,250.0,77.0,3.05,39,3.33,54,0.29,28,70,0.1,6,9,-3,-3
1017,a53d30163304aa6e,Carlston Harris,72,170.0,76.0,4.03,45,2.07,66,0.0,0,75,1.6,2,1,1,-1
1018,0e98b05d3cf6d271,Trevor Harris,66,145.0,75.75,1.73,50,0.43,75,0.0,0,50,6.5,1,0,1,1
1019,c4b81cdecd5d6abe,Gerald Harris,71,185.0,77.0,1.41,29,1.58,62,2.96,54,72,0.0,4,1,3,1
1020,16bf6a73bdd302cd,Collin Hart,73,185.0,75.75,6.33,44,7.53,51,2.0,16,50,0.0,0,1,-1,-1
1021,058e4e08a1ad8aba,Dale Hartt,70,155.0,69.0,1.14,35,1.55,66,1.22,100,25,2.5,1,2,-1,-1
1022,83a477a7dba1ca58,Clay Harvison,73,170.0,74.0,3.29,48,3.91,58,0.66,100,68,1.3,1,2,-1,-2
1023,5bd533d50c8e7b8a,Chris Haseman,71,205.0,75.875,0.93,70,4.67,28,0.0,0,40,2.0,0,2,-2,-2
1024,ae4343d29c68e9d0,Takayo Hashi,64,135.0,75.75,2.84,26,6.56,61,0.0,0,0,0.0,0,1,-1,-1
1025,77940e45bc86208e,Justin Haskins,70,170.0,75.75,1.51,33,2.65,54,1.62,40,52,0.8,0,2,-2,-2
1026,cf615eb4b7862c76,Hayder Hassan,70,170.0,75.75,2.11,46,3.16,48,0.0,0,25,0.0,1,2,-1,-2
1027,bf7a64d9ae343e86,Ahmad Hassanzada,73,155.0,75.0,2.59,34,4.42,40,2.5,22,0,0.0,0,1,-1,-1
1028,c76ceda100ac0fad,Daiki Hata,66,139.0,75.75,1.44,39,1.42,55,0.67,100,35,0.7,1,2,-1,-2
1029,28f3c2258a1d8874,John Hathaway,73,170.0,75.0,3.4,40,1.8,62,2.61,43,60,0.9,7,2,5,-1
1030,547afe1017e72dbe,Phil Hawes,72,185.0,77.0,5.68,60,3.43,56,2.27,33,100,0.3,5,2,3,1
1031,885e7f70dcac0007,Del Hawkins,65,135.0,75.75,1.15,27,2.01,46,0.0,0,0,0.0,0,1,-1,-1
1032,0871254cd790c250,Tommy Hayden,69,145.0,75.75,1.48,27,2.05,55,3.42,33,66,0.0,0,2,-2,-2
1033,0cfbbfa0ba6d9855,Mike Hayes,76,230.0,75.75,4.87,55,1.47,77,0.0,0,75,4.0,1,0,1,1
1034,6ef58dabef8beb15,Josh Haynes,69,170.0,75.75,1.25,22,4.03,52,0.94,18,42,0.0,0,3,-3,-3
1035,a149d6bc670cdb60,Dustin Hazelett,73,170.0,76.0,2.24,40,3.51,46,0.55,50,25,4.1,5,5,0,-3
1036,19a8cce18a1cef9e,James Head,73,170.0,73.0,2.75,48,3.11,49,0.41,100,66,0.8,2,3,-1,-2
1037,f3eb664db7fb1df3,Ryan Healy,73,155.0,75.75,1.67,35,3.0,38,3.0,50,40,1.0,0,1,-1,-1
1038,50d2f0018bcf9eef,Pat Healy,72,155.0,72.0,2.57,36,2.57,50,3.08,37,55,1.1,8,7,1,-4
1039,4f95f74620a6b7a4,David Heath,71,205.0,72.0,1.48,30,5.16,49,0.33,50,57,1.0,2,3,-1,-3
1040,bad8be5827ea1bf1,Chris Heatherly,69,155.0,75.75,1.08,45,2.67,52,3.39,50,100,0.7,0,2,-2,-2
1041,e57fdbea1b828202,Jake Hecht,72,170.0,73.0,3.26,47,2.76,56,2.04,37,40,0.0,1,2,-1,-2
1042,2816ced060a21be3,Nick Hein,66,155.0,66.0,2.65,35,3.61,59,0.86,33,83,0.0,4,4,0,-3
1043,2e585c701f72fe55,Ian Heinisch,71,185.0,72.0,3.25,50,2.98,59,1.02,17,59,0.7,4,4,0,-2
1044,bf43fed8f29e1671,Marcin Held,69,155.0,71.0,1.41,34,2.02,47,2.46,46,37,1.3,1,3,-2,1
1045,970beed85bc46b63,Delson Heleno,71,185.0,75.75,0.69,75,4.83,19,0.0,0,0,0.0,0,1,-1,-1
1046,1ccf4e7caff270df,Dan Henderson,71,185.0,74.0,2.44,47,2.7,51,1.52,52,57,0.3,27,15,12,-1
1047,2676b28836a5a836,Benson Henderson,69,170.0,70.0,2.93,45,1.79,63,2.4,45,63,0.8,16,4,12,2
1048,498f0d066396ec59,Ron Henderson,70,125.0,75.75,2.53,25,3.6,48,1.0,20,0,0.0,0,0,0,0
1049,0941df56f6ac954b,Johny Hendricks,69,185.0,69.0,3.49,45,3.99,53,3.83,46,63,0.3,15,8,7,-2
1050,7649c4c95b824488,Josh Hendricks,74,235.0,75.75,0.98,20,11.8,29,0.0,0,0,0.0,0,1,-1,-1
1051,9ab9912e0f8fa6d6,Cory Hendricks,75,205.0,75.875,3.13,39,4.07,42,0.0,0,100,0.0,0,1,-1,-1
1052,e5bda12faabfc850,Luis Henrique,74,243.0,74.0,1.81,43,2.22,47,3.09,36,50,1.0,2,4,-2,-3
1053,f7d73e452b064bf2,Danny Henry,72,145.0,73.0,5.2,51,4.16,45,0.74,33,50,2.2,2,2,0,-2
1054,eb8d8c2a95cfccb8,Victor Henry,67,135.0,68.0,12.07,51,8.93,51,0.0,0,85,0.0,1,0,1,1
1055,e1acbb6352ca3551,TJ Hepburn,67,155.0,75.75,0.73,37,0.13,81,2.0,40,60,0.0,0,0,0,0
1056,4c88a1db5a46c6a4,Jai Herbert,73,155.0,77.0,2.45,41,2.85,42,0.0,0,55,0.0,2,3,-1,1
1057,06f36cf4bd97ec77,Ed Herman,73,205.0,77.0,3.28,48,3.52,42,2.08,48,59,1.1,13,12,1,-1
1058,cbd6f1abf955e628,Dave Herman,76,242.0,77.0,4.98,60,3.78,48,1.49,100,58,0.0,2,4,-2,-4
1059,0a1942069c9ad6b6,Jack Hermansson,73,185.0,77.0,5.12,43,3.74,55,1.57,27,75,0.5,10,5,5,1
1060,915c8d39d4a0e7d1,Ramiro Hernandez,69,135.0,75.75,2.72,28,5.51,64,0.0,0,0,0.0,0,2,-2,-2
1061,f97c5433c77522d3,Nohelin Hernandez,70,135.0,71.0,1.32,34,2.63,52,0.71,50,37,0.0,0,2,-2,-2
1062,798e48f9e7f6ba22,Carlos Hernandez,68,125.0,67.0,5.37,47,4.37,45,1.0,11,70,0.5,2,0,2,2
1063,093e1f5bb73850be,Anthony Hernandez,72,185.0,75.0,4.26,58,3.93,46,5.39,70,66,2.3,3,2,1,2
1064,262a7d06203657e6,Alexander Hernandez,69,155.0,72.0,3.97,37,3.94,57,1.43,33,64,0.0,5,4,1,-1
1065,f71028a6e5128856,Chris Herrera,70,185.0,75.75,2.04,37,3.35,48,1.8,100,100,0.0,0,0,0,0
1066,c169545ab0825f44,Geane Herrera,65,125.0,66.0,1.51,31,5.07,52,0.83,37,38,0.6,1,3,-2,-2
1067,b6850671a008bf9a,Felice Herrig,64,115.0,65.0,3.84,37,5.19,48,1.08,28,75,0.8,5,5,0,-4
1068,7450525c7ba032a0,Heath Herring,76,250.0,78.0,2.37,50,1.77,54,1.22,50,32,0.7,14,8,6,-1
