,id,name,height,weight,reach,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum
2217,a148dfe3485be79d,Linton Vassell,76,205.0,75.87692307692308,3.39,37,2.13,54,2.46,50,50,0.0,0,0,0,0
2218,be5cfd73617a5b1a,Javier Vazquez,67,145.0,69.0,2.43,36,1.99,72,2.56,52,57,1.5,3,3,0,1
2219,8d4d25fd9218860b,Manny Vazquez,70,125.0,72.0,1.47,41,2.67,48,1.0,33,0,1.0,0,0,0,0
2220,5731cc327790b731,Matt Veach,71,155.0,75.0,1.12,28,4.91,44,3.64,38,100,1.5,1,2,-1,-2
2221,d35c3ed553b71fa2,Joe Vedepo,72,185.0,75.0,1.43,42,5.71,38,1.07,20,0,0.0,0,2,-2,-2
2222,93c9897f0f9f5dab,Kelly Velasco,69,135.0,75.0,2.27,35,5.67,47,0.0,0,100,0.0,0,0,0,0
2223,0ff11cc094e887bc,Cain Velasquez,73,240.0,77.0,6.38,57,2.29,57,5.15,45,85,0.4,14,2,12,1
2224,fcce75a25c14a804,Bojan Velickovic,72,170.0,76.0,2.18,34,2.31,57,0.67,25,55,0.5,2,3,-1,-2
2225,d23ccf4a6c221284,Karlos Vemola,72,185.0,75.0,1.67,44,2.13,37,1.93,25,31,1.7,2,4,-2,-2
2226,2f1a257d6777096d,Luigi Vendramini,68,170.0,75.0,0.63,23,2.37,53,0.0,0,0,2.4,0,1,-1,-1
2227,602bb270f2bdbf02,Jerrel Venetiaan,73,195.0,75.87692307692308,0.81,33,1.51,67,0.0,0,60,0.0,1,1,0,-1
2228,7c7332319c14094c,Marlon Vera,68,135.0,70.0,3.23,44,3.93,52,0.78,37,68,1.3,6,4,2,2
2229,fa315e6c77eee106,Brandon Vera,75,230.0,76.0,3.03,56,2.81,52,0.7,53,59,0.2,10,7,3,-2
2230,c24b1db4b809d41b,Renato Verissimo,73,170.0,75.0,0.92,48,1.87,47,1.46,30,50,2.5,1,3,-2,-3
2231,13a0fb8fbdafb54f,Bryan Vetell,75,265.0,75.0,2.74,60,2.13,41,0.0,0,0,0.0,0,1,-1,-1
2232,7acbb0972e75281a,Marvin Vettori,72,185.0,74.0,3.41,39,2.96,64,1.63,43,73,0.9,2,2,0,-1
2233,f95381efb3051d81,Hugo Viana,66,135.0,67.0,3.05,38,3.2,57,0.22,6,50,0.0,3,3,0,-2
2234,9673a497a9da119a,Polyana Viana,65,115.0,67.0,3.08,39,2.44,51,1.59,28,50,2.4,1,1,0,-1
2235,393b8e03fb410a78,Guilherme Viana,76,205.0,75.87692307692308,2.92,40,2.72,59,1.2,66,77,0.0,0,0,0,0
2236,6256b2b1562cb8e1,James Vick,75,155.0,76.0,4.16,38,3.05,62,0.32,33,56,0.8,9,2,7,-1
2237,b9706f80d005036c,Ketlen Vieira,68,135.0,68.0,2.62,36,3.69,56,2.21,57,92,0.8,4,0,4,4
2238,f9081770e28ea2e1,Reginaldo Vieira,67,135.0,65.0,3.76,40,2.89,59,1.97,27,25,0.8,1,2,-1,-2
2239,7cf20446453f852b,Milton Vieira,72,145.0,72.0,1.13,35,2.36,48,2.67,53,12,0.7,1,2,-1,-1
2240,6888e31ce88f5b17,Steve Vigneault,70,185.0,75.0,2.19,28,5.75,44,0.0,0,100,0.0,0,2,-2,-2
2241,2e88f2030d8a928a,Alejandro Villalobos,67,145.0,75.0,3.93,46,4.07,67,1.0,50,0,0.0,0,0,0,0
2242,fcd448a2fe1a23cc,Gian Villante,75,205.0,76.0,4.25,42,5.31,56,0.53,23,83,0.0,10,9,1,1
2243,39f68882def7a507,Ruben Villareal,76,265.0,75.0,5.18,53,4.86,35,0.0,0,0,0.0,0,2,-2,-2
2244,34f93dfbd43b2144,Pablo Villaseca,67,155.0,75.0,2.79,42,3.25,65,2.5,50,33,0.0,0,0,0,0
2245,15515e797aedc137,Joey Villasenor,72,185.0,75.0,2.05,38,3.26,52,0.71,40,53,1.1,3,5,-2,-1
2246,fd87b1bbfcde9d5e,Danillo Villefort,73,185.0,75.0,2.86,37,2.4,68,1.71,66,33,1.7,1,2,-1,-2
2247,0fb1e2694a39a02f,Yuri Villefort,72,170.0,73.0,3.18,43,5.42,55,2.0,35,40,0.3,0,3,-3,-3
2248,e363b21261814830,Marcos Vinicius,69,125.0,70.0,1.93,49,2.91,47,0.0,0,25,0.5,1,2,-1,-2
2249,7c4ec656d8fcb867,Brandon Visher,66,135.0,68.0,2.55,45,3.76,42,0.67,20,0,0.0,1,2,-1,-2
2250,445a98acb8985970,Falaniko Vitale,70,185.0,75.0,1.88,49,3.68,47,0.72,33,86,0.0,2,3,-1,-2
2251,fb8a3025ae722e64,Bobby Voelker,72,170.0,75.0,4.01,35,5.84,42,1.04,50,66,0.0,4,5,-1,-4
2252,e1248941344b3288,Alexander Volkanovski,66,145.0,71.0,6.09,63,2.55,63,3.87,41,82,0.7,5,0,5,5
2253,6f81b6de2557739a,Jacob Volkmann,69,155.0,71.0,1.19,34,1.78,52,3.19,48,52,2.0,6,4,2,-1
2254,279566840aa55bf2,Alexander Volkov,79,250.0,80.0,5.31,60,2.39,56,0.86,75,75,0.3,4,1,3,-1
2255,ef0344ed552d8a22,Mark Vorgeas,70,135.0,75.0,3.87,32,4.19,51,0.0,0,50,0.8,0,0,0,0
2256,7929be8290289a47,Igor Vovchanchyn,68,205.0,75.87692307692308,1.59,49,0.97,63,1.19,66,50,0.5,18,8,10,-2
2257,c8097968da5e5f13,Chris Wade,70,155.0,70.0,1.7,53,1.75,51,2.6,51,55,1.1,5,2,3,1
2258,6b7bc7eaf2465387,Neil Wain,70,242.0,75.0,2.64,50,8.57,43,0.0,0,50,0.0,0,1,-1,-1
2259,8f2939f5fd9cca1e,TJ Waldburger,71,170.0,75.0,2.02,51,2.39,40,3.03,46,40,4.8,4,4,0,-2
2260,aeb6c57b9bd8bc3a,Chase Waldon,73,185.0,75.0,1.03,28,6.72,38,7.76,33,0,0.0,0,0,0,0
2261,e6147d5ab3685899,Donny Walker,69,135.0,75.0,1.81,37,3.85,46,0.0,0,57,1.7,0,2,-2,-2
2262,18944a1a6ac1becf,Andre Walker,71,205.0,75.87692307692308,2.28,31,4.36,34,0.0,0,0,0.0,0,1,-1,-1
2263,c21f26bbde777573,Johnny Walker,77,205.0,82.0,5.37,70,3.36,25,0.89,100,100,2.6,1,0,1,1
2264,bd92e38aef641673,Herschel Walker,73,215.0,75.0,3.42,67,0.45,46,1.94,100,100,0.0,2,0,2,2
2265,1ad381c8994c4e5b,Ben Wall,70,155.0,73.0,1.47,29,8.53,29,0.0,0,100,0.0,0,2,-2,-2
2266,95cf6be9071e68b0,Randall Wallace,71,185.0,73.0,1.13,38,4.11,45,2.13,50,0,0.0,0,0,0,0
2267,bf41b5131545da12,Crafton Wallace,72,185.0,75.0,1.55,44,2.36,47,0.0,0,42,0.0,1,2,-1,-2
2268,b9415726dc3ec526,Rodney Wallace,69,205.0,72.0,1.13,46,3.44,45,6.0,54,28,1.0,0,3,-3,-3
2269,0c670b443c3d269f,Jimmy Wallhead,70,170.0,73.0,3.19,26,6.65,49,0.0,0,100,0.0,0,2,-2,-2
2270,b4c96c3d9139bf0e,Patrick Walsh,71,185.0,71.0,2.03,19,2.83,64,3.0,54,100,1.5,1,1,0,-1
2271,303a05a7aa3ff761,Richard Walsh,72,170.0,73.0,3.84,46,2.72,58,1.55,40,66,0.2,2,4,-2,-2
2272,d57e6a8971b6d2bd,Erick Wanderlei,73,205.0,75.87692307692308,0.63,41,2.66,40,3.8,66,0,1.9,0,1,-1,-1
2273,69e8c632135af48b,An Ying Wang,72,170.0,75.0,1.32,26,1.63,44,0.0,0,33,0.0,1,1,0,-1
2274,efb9a43415a56d34,Sai Wang,72,170.0,72.0,3.17,46,2.27,53,0.0,0,77,0.0,1,1,0,1
2275,476414d2f18cd059,Andy Wang,66,155.0,75.0,3.43,36,10.29,62,0.0,0,0,0.0,0,1,-1,-1
2276,2721bb808bb2523c,Curt Warburton,72,155.0,73.0,2.13,42,3.44,43,2.35,50,83,0.9,1,2,-1,-1
2277,e81dd0bb8a64b550,Charlie Ward,71,170.0,73.0,1.64,19,7.21,53,0.0,0,0,0.0,0,2,-2,-2
2278,67cd6495280b0a57,Brennan Ward,70,170.0,71.0,7.2,60,2.76,52,0.0,0,100,3.6,0,0,0,0
2279,ba5e253af86db1a8,Terrion Ware,68,135.0,71.0,4.02,32,6.07,50,0.5,22,44,0.0,0,4,-4,-4
2280,c0c1bc0766df4c00,Joe Warren,66,135.0,75.0,2.15,46,2.39,52,6.14,46,60,0.0,2,1,1,-1
2281,c4c4c7dd26c15d91,Brian Warren,72,185.0,75.0,1.16,21,4.63,57,0.0,0,0,0.0,0,1,-1,-1
2282,8a19676a3388845a,Idris Wasi,72,186.0,75.87692307692308,0.4,31,3.53,46,0.0,0,20,0.0,0,0,0,0
2283,2abe38b81d68a24a,Kengo Watanabe,76,220.0,75.0,0.6,40,3.4,35,1.0,100,37,0.0,0,1,-1,-1
2284,efaf544314bb5c2e,Ron Waterman,74,280.0,75.0,0.84,50,1.37,42,4.19,69,50,2.8,5,4,1,-2
2285,2de91c2244ad7e89,Dominic Waters,73,170.0,79.0,0.48,23,2.53,39,4.07,52,28,0.0,0,3,-3,-3
2286,eb04b9d31e938edb,Michelle Waterson,63,115.0,62.0,3.49,62,2.94,51,2.23,68,62,1.4,6,2,4,2
2287,6809c31286b08d97,Tom Watson,73,185.0,73.0,4.01,44,4.41,50,0.15,7,43,0.0,2,5,-3,-2
2288,d7b2c0b53883ee80,Kyle Watson,72,155.0,75.0,3.67,35,3.25,62,0.0,0,100,0.0,1,1,0,-1
2289,92aafa8f4b26269b,Walel Watson,71,135.0,69.0,2.1,29,3.79,43,0.0,0,61,1.4,1,3,-2,-3
2290,f40ec51dd4de47c3,Jonavin Webb,70,170.0,71.0,1.47,30,2.27,64,2.5,31,40,1.0,0,2,-2,-2
2291,d44a84409bf0da64,Stephanie Webber,66,135.0,75.0,0.91,80,3.85,15,6.79,40,0,0.0,0,1,-1,-1
2292,b9c03e7a4557e542,Royston Wee,67,135.0,67.0,1.1,60,2.45,49,3.38,81,0,0.0,2,1,1,-1
2293,7b9dade6bedaabbe,Daniel Weichel,70,145.0,70.0,5.71,42,4.05,61,0.84,50,83,0.0,0,0,0,0
2294,3a8176e15b9887c1,Chris Weidman,74,185.0,78.0,3.15,42,3.23,51,3.76,52,73,1.0,10,4,6,-1
