name,ELO_x,prevdate,Best_Rating_to_Date,Avg_Elo_of_opponets,frFX
Rich Attonito,1327.29,12/10/2011 0:28,1383.04,1162.71,17
JC Cottrell,1327.26,1/28/2017 0:14,1430.45,1092.42,26
Mike Budnik,1327.1,8/17/2013 2:09,1327.1,1152.34,18
Eddy Ellis,1327.02,7/29/2017 1:12,1385.81,1108.38,43
Ian McCall,1326.83,5/6/2018 2:09,1461.37,1286.37,21
Michael Graves,1326.6,5/19/2018 1:40,1389.2,1165.59,15
Steve Kennedy,1326.6,6/16/2018 1:26,1416.61,1088.55,34
Josh Koscheck,1326.57,2/18/2017 1:40,1672.21,1395.44,32
Nissen Osterneck,1326.44,2/7/2014 0:28,1397.18,1154.86,17
Lando Vannata,1326.32,11/3/2018 0:00,1405.13,1231.22,15
Nicolas Dalby,1326.2,9/1/2018 0:00,1529.39,1193.57,20
Cain Carrizosa,1326.18,2/2/2017 1:55,1326.18,1151.14,13
Nate Loughran,1325.86,8/7/2014 2:09,1390.27,1172.38,13
Joe Jordan,1325.78,11/30/2012 2:38,1456.38,1067.18,68
Jeremy Kimball,1325.64,7/22/2018 0:28,1455.43,1215.83,27
David Michaud,1325.57,8/17/2018 0:00,1339.77,1175.18,19
Kamal Shalorus,1325.54,2/10/2017 2:09,1424.4,1333.07,16
Will Campuzano,1325.13,5/24/2014 2:38,1407.36,1204.79,20
Brandon Girtz,1324.3,4/13/2018 2:52,1420.97,1225.16,23
John Castaneda,1323.58,4/13/2018 1:26,1485.74,1108.65,26
Joey Gomez,1323.36,7/10/2018 1:12,1352.93,1142.17,10
Manny Vazquez,1323.35,3/10/2018 2:24,1323.35,1140.49,15
Walt Harris,1323.29,6/1/2018 2:24,1343.37,1219.84,19
Travis Galbraith,1322.75,5/29/2010 2:52,1355.95,1129.77,25
Ryan Couture,1322.64,6/29/2018 2:38,1414.18,1182.59,24
Riki Fukuda,1322.62,7/15/2017 1:12,1483.62,1192,34
Matt Veach,1322.27,12/2/2016 2:52,1396.34,1145.11,23
Donnie Liles,1322.13,8/28/2015 1:55,1373.77,1136.03,28
Montel Jackson,1321.67,8/4/2018 1:26,1350.64,1113.78,10
Abel Cullum,1321.5,10/10/2014 3:36,1386.07,1130.01,26
Luciano Azevedo,1321.39,8/24/2014 2:24,1331.06,1170.63,27
Mackenzie Dern,1321.29,5/12/2018 2:38,1321.29,1120.58,7
Merab Dvalishvili,1321.23,9/15/2018 0:00,1351.79,1236.67,12
Dan Miller,1321.18,7/12/2015 0:43,1477.31,1283.86,23
Jay Cucciniello,1320.66,7/6/2018 2:24,1355.29,1141.74,13
Stefan Sekulic,1320.65,9/15/2018 0:00,1343.16,1149.74,15
Terry Etim,1320.49,11/22/2013 1:40,1459.22,1178.4,21
Austin Vanderford,1320.05,7/17/2018 0:28,1320.05,1068.11,8
Germaine de Randamie,1319.98,2/11/2017 2:24,1319.98,1201.15,10
Roosevelt Roberts,1319.89,7/31/2018 1:12,1319.89,1111.04,10
Evan Tanner,1319.86,6/21/2008 2:24,1488.45,1137.27,40
Junior Albini,1319.66,5/12/2018 1:40,1393.57,1103.29,18
Bobby Southworth,1319.32,7/31/2010 2:52,1319.32,1178.62,19
Rob Wilkinson,1319.14,2/10/2018 1:26,1387.87,1143.22,13
Fabricio Camoes,1318.8,10/25/2014 0:14,1452.37,1212.29,24
Oli Thompson,1318.49,5/12/2018 1:55,1374.71,1165.35,28
Jesse Forbes,1318.43,12/10/2010 1:40,1369.49,1146.69,22
Alvin Robinson,1318.39,11/6/2015 1:40,1337.57,1241.7,24
Tyson Pedro,1318.39,6/23/2018 2:52,1345.12,1239.1,9
Chris Cariaso,1318.05,10/3/2015 0:28,1449.93,1235.11,25
Gavin Tucker,1318.01,9/9/2017 0:57,1347.07,1082.2,11
Tom Watson,1317.77,8/8/2015 1:26,1461.87,1223.15,26
Manuel Rodriguez,1317.7,9/12/2015 2:09,1328.78,1181.99,17
Joby Sanchez,1317.34,2/18/2018 0:57,1373.73,1131.86,17
Emiliano Sordi,1316.89,10/12/2018 2:00,1360.35,1148.65,25
Rodrigo Damm,1316.71,1/3/2015 0:43,1443.73,1295.52,22
Cindy Dandois,1316.52,3/17/2018 4:48,1316.52,1105.87,15
Nick Catone,1316.41,2/1/2014 1:12,1316.41,1206.78,14
Rob McCullough,1315.57,9/24/2011 2:38,1423.65,1169.69,27
Jae Suk Lim,1315.54,9/29/2013 2:38,1331.44,1131.37,23
Dustin Hazelett,1315.12,12/11/2010 1:12,1449.97,1217.85,22
Antonio Duarte,1315.04,3/16/2018 2:24,1350.68,1089.68,28
Jin Soo Son,1314.94,9/15/2018 0:00,1349.24,1156.12,12
Kyle Noke,1314.77,11/26/2016 2:38,1478.2,1208.86,36
Carlos Candelario,1314.5,8/1/2017 0:43,1314.5,1067.79,8
Devonte Smith,1314.28,8/7/2018 0:00,1314.28,1128.27,14
Bart Palaszewski,1313.98,4/13/2013 0:43,1533.94,1192.61,55
Alexa Grasso,1313.34,5/19/2018 2:52,1371.05,1165.72,12
Justin Ledet,1312.88,7/22/2018 0:57,1366.29,1151.87,11
Yana Kunitskaya,1312.61,10/6/2018 0:00,1312.61,1152.55,16
Shinsho Anzai,1312.23,6/23/2018 1:12,1345.72,1144.26,13
Bevon Lewis,1312.01,7/10/2018 0:57,1312.01,1149.71,6
Donald Sanchez,1311.43,3/10/2018 0:28,1417.66,1141.69,49
Mark Godbeer,1311.24,3/17/2018 0:14,1364.57,1151.36,17
Sam Sicilia,1311.15,4/28/2018 3:07,1389.18,1219.2,29
George Sullivan,1310.86,8/25/2018 0:00,1513.32,1187.88,25
Nina Ansaroff,1310.64,7/28/2018 0:28,1310.64,1112.29,17
Renzo Gracie,1310.62,7/27/2018 1:26,1315.57,1186.59,23
Carmelo Marrero,1310.59,10/25/2013 2:52,1327.72,1145.44,23
Mac Danzig,1310.46,8/5/2017 2:09,1488.44,1189.36,44
Geane Herrera,1310.22,4/21/2018 0:28,1331.46,1182.45,13
Shane del Rosario,1309.81,12/15/2012 2:09,1422.65,1150.42,13
Valmir Lazaro,1309.71,4/28/2018 1:55,1456.53,1181.87,24
Matt Grice,1309.44,2/23/2013 1:12,1360.22,1157.79,20
Matt Lucas,1309.05,6/16/2012 0:43,1348.15,1102.34,18
Marcelo Guimaraes,1308.99,3/5/2016 1:12,1367.14,1186.65,12
Matt Sayles,1308.63,8/4/2018 0:57,1353.78,1137.41,12
Alessandro Ricci,1308.44,2/19/2017 1:26,1385.79,1228.14,16
Yoshiyuki Yoshida,1308.28,12/17/2016 3:36,1481.11,1248.98,27
Artem Lobov,1308.26,10/27/2018 0:00,1438.01,1237.44,38
Amir Sadollah,1308.19,9/20/2014 2:24,1417.21,1283.04,16
Brendan Seguin,1307.82,11/30/2012 0:43,1412.35,1208.94,43
Nick Denis,1307.65,5/5/2012 0:28,1374.42,1171.98,14
Felice Herrig,1307.44,10/6/2018 0:00,1414.18,1166.66,24
Maurice Mitchell,1307.27,7/31/2018 0:28,1342,1106.31,13
Tom Gallicchio,1306.9,7/7/2017 0:57,1393.99,1168.99,34
Allan Zuniga,1306.77,7/6/2018 0:57,1443.17,1104.52,16
Luiz Azeredo,1306.67,4/2/2011 0:28,1365.65,1240.61,25
John Cholish,1306.53,5/18/2013 1:40,1380.19,1209.61,11
Mario Sperry,1306.5,7/14/2007 2:09,1344.04,1137.74,17
Damian Grabowski,1306.46,7/22/2017 1:26,1563.57,1216.37,25
Sara McMann,1306.4,2/24/2018 1:40,1437.71,1239.69,18
Chris Clements,1306.34,4/25/2015 0:43,1422.33,1191.48,20
Russell Doane,1306.28,2/24/2018 0:43,1428.62,1245.92,24
Paul Redmond,1306.24,6/9/2018 0:57,1374.22,1179.16,24
David Terrell,1306.11,4/15/2006 0:43,1306.11,1200.79,8
Akira Corassani,1306.03,1/24/2015 2:09,1449.04,1198.94,23
Kendall Grove,1305.92,1/26/2018 2:24,1459.71,1275.44,46
Cyrille Diabate,1305.84,3/8/2014 1:12,1439.96,1196.53,30
Julian Marquez,1305.61,7/6/2018 1:40,1361.42,1118.87,12
Curt Warburton,1305.54,12/15/2017 0:14,1408.8,1183.18,20
Jason Butcher,1305.06,8/30/2018 0:00,1393.15,1213.66,21
Rich Clementi,1305.05,9/27/2013 2:09,1485.06,1186.93,70
Jason Black,1304.99,10/20/2007 0:14,1573.8,1141.77,31
John Gunther,1304.83,7/6/2018 0:57,1321.94,1194.86,11
Elias Garcia,1304.68,7/14/2018 0:28,1352.72,1077.65,11
James Lee,1304.2,8/4/2012 2:09,1377.69,1062.81,19
Eric Shelton,1303.96,2/24/2018 0:28,1412.96,1170.43,22
Joe Proctor,1303.66,4/22/2017 0:28,1408.85,1171.1,24
Mauricio Alonso,1303.51,2/18/2017 1:40,1303.51,1137.99,21
Rob Broughton,1303.5,6/12/2015 0:14,1395.86,1157.79,24
Chase Waldon,1303.35,7/25/2017 0:43,1371.32,1146.48,14
Josh Neer,1302.91,1/29/2016 3:21,1548.49,1203.3,64
Marc Diakiese,1302.79,7/22/2018 1:55,1483.33,1159.53,16
Brian Rogers,1302.78,3/24/2017 1:55,1408.57,1178.52,29
Hisaki Kato,1302.76,12/1/2017 2:38,1324.14,1203.04,11
Naoyuki Kotani,1302.7,7/16/2018 1:26,1519.31,1186.85,58
Tyler Diamond,1302.17,7/6/2018 0:43,1408.66,1133.35,13
Kyler Phillips,1302,2/12/2018 0:00,1351.15,1114.7,10
Roger Huerta,1301.92,9/21/2018 0:00,1578.05,1217.27,42
Luiz Cane,1301.68,4/28/2017 2:24,1395.65,1227.42,23
Phillipe Nover,1301.61,2/11/2017 0:28,1401.31,1223.38,23
Mats Nilsson,1301.56,1/3/2015 0:28,1398.94,1205.43,16
Craig White,1301.42,9/8/2018 0:00,1343.72,1133.39,26
Paul Kelly,1301.42,3/2/2013 2:52,1348.55,1173.96,19
Mickey Gall,1301.01,8/25/2018 0:00,1301.01,1143.41,8
Murilo Bustamante,1300.45,3/31/2012 2:09,1387.5,1232.42,24
Frank Shamrock,1300.31,4/11/2009 2:24,1435.33,1156.77,35
Pat Audinwood,1300.1,2/24/2012 0:14,1300.1,1090.45,14
Tom DeBlass,1300.09,11/15/2013 1:40,1300.09,1132.12,12
Jason Miller,1299.66,5/21/2016 3:21,1484.24,1193.06,36
Billy Evangelista,1299.51,6/20/2014 2:09,1442.87,1173.22,20
Alex White,1299.05,9/8/2018 0:00,1412.49,1220.27,18
Ivan Menjivar,1298.71,3/1/2014 1:12,1427.29,1193.96,37
Steve Garcia,1298.53,7/14/2017 1:55,1345.74,1138.57,12
Salim Touahri,1298.37,10/21/2017 0:43,1336.67,1112.37,12
Marcus LeVesseur,1298.32,12/8/2012 0:43,1357.09,1092.52,29
Bradley Scott,1298.29,5/27/2018 0:43,1381.45,1213.68,19
Rafaello Oliveira,1298.23,2/22/2014 0:28,1409.82,1211.56,25
Dan Lauzon,1298.05,8/14/2015 1:12,1416.31,1143.63,23
Hugh Pulley,1298.04,7/21/2018 1:12,1298.04,1136.72,10
Jonathan Wiezorek,1297.99,11/10/2007 1:26,1353.75,1122.32,13
Chris Kelades,1297.45,6/1/2018 2:09,1371.83,1159.09,16
Mads Burnell,1296.91,5/27/2018 2:09,1330.09,1164.61,16
Sarah Frota,1296.72,2/17/2018 0:43,1296.72,1047.85,8
Ronny Markes,1296.72,10/12/2018 0:30,1511.57,1210.25,25
Mayra Bueno Silva,1296.5,9/22/2018 0:00,1296.5,1195.5,5
Mario Neto,1295.9,12/15/2011 2:24,1295.9,1118.31,18
Justin Salas,1295.64,3/5/2016 0:28,1426.82,1233.78,19
Yves Jabouin,1295.51,8/23/2015 1:12,1389.55,1154.49,31
Joe Cason,1295.49,3/7/2014 0:28,1295.49,1024.63,12
Irene Aldana,1295.48,9/8/2018 0:00,1295.48,1191.8,13
Neil Seery,1295.45,7/16/2017 1:12,1357.59,1165.65,29
Alex Andrade,1295.31,7/12/2009 0:00,1295.31,1129.84,15
Luis Pena,1294.8,7/6/2018 1:12,1294.8,1071.84,7
Daniel Puder,1294.57,8/15/2009 1:26,1294.57,1054.18,8
Tae Hyun Bang,1294.56,9/3/2016 1:55,1359.44,1181.59,26
Charlie Brenneman,1294.28,11/8/2014 0:43,1481.47,1214.6,29
Andrew Holbrook,1293.93,9/2/2017 0:14,1418.27,1143.43,16
Ji Yeon Kim,1293.45,6/23/2018 0:14,1293.45,1114.96,11
Dante Rivera,1293.45,5/2/2014 1:40,1318.34,1128.12,26
Tina Lahdemaki,1293.32,7/16/2014 0:14,1334.08,1053.48,12
Teemu Packalen,1293.15,3/18/2017 0:43,1325.96,1126.22,12
Brock Jardine,1293.11,9/18/2015 3:07,1327.52,1199.48,18
Alex Nicholson,1292.38,10/5/2018 4:15,1352.05,1208.33,22
Felipe Silva,1291.8,5/19/2018 0:14,1366.35,1189.88,10
Anthony Perosh,1290.84,11/14/2015 1:26,1407.59,1239.67,25
Matt Frevola,1290.7,11/3/2018 0:00,1346.24,1150.82,10
Rafael Dias,1290.22,7/21/2018 2:52,1326.29,1113.54,21
Francisco Rivera,1290.18,7/30/2016 1:55,1452.17,1275.04,19
Brian Melancon,1290.14,8/28/2013 2:24,1318.37,1221.98,10
Adam Milstead,1289.74,3/3/2018 0:14,1337.91,1134.67,12
Kyle Watson,1289.45,2/11/2012 3:21,1405.68,1150.04,27
Mackens Semerzier,1289.44,11/17/2012 0:43,1309.06,1187.55,15
Hatsu Hioki,1289.26,10/8/2017 4:04,1628.14,1238.62,42
Ron Waterman,1289.16,11/29/2008 2:24,1358.78,1161.89,24
Jameel Massouh,1289,6/10/2011 1:40,1409.3,1132.95,35
Francisco Trevino,1288.95,6/24/2016 2:24,1362.6,1137.75,15
Gesias Cavalcante,1288.88,4/13/2018 2:09,1650.29,1304.39,40
Raphael Butler,1288.58,1/29/2016 0:57,1360.83,1141.99,12
Jake Hecht,1288.58,6/8/2012 0:14,1398.66,1146.37,16
Valerie Letourneau,1288.49,6/29/2018 2:24,1288.49,1179.18,17
Antonio Braga Neto,1288.19,12/9/2017 0:14,1367.67,1178.4,13
Masakazu Imanari,1288.15,4/20/2018 0:57,1478.66,1226.83,56
Jon Madsen,1287.81,3/20/2015 2:24,1362.06,1194.25,12
George Sotiropoulos,1287.39,8/22/2014 2:38,1582.15,1253.05,24
Hyun Gyu Lim,1287.14,9/22/2017 0:14,1442.8,1215.34,21
Kennedy Nzechukwu,1287.14,8/7/2018 0:00,1287.14,1061.78,7
Leo Kuntz,1286.84,7/15/2017 1:40,1397.07,1097.97,24
Cameron Dollar,1286.58,3/23/2013 1:12,1325,1145.05,19
Alonzo Martinez,1286.53,3/30/2018 1:40,1475.65,1155.47,69
Priscila Cachoeira,1286.27,2/3/2018 2:24,1326.22,1084.19,10
Andrew Craig,1286.25,7/15/2015 0:14,1444.15,1253.64,14
Andreas Stahl,1286.23,1/13/2018 0:43,1384.07,1180.84,16
Greg Rebello,1286.12,6/26/2018 0:43,1363.45,1087.5,34
Milton Vieira,1285.83,1/19/2013 1:40,1346.44,1168.14,23
Keith Wisniewski,1285.54,9/4/2013 0:28,1470.89,1158.39,49
Marion Reneau,1285.3,7/14/2018 1:55,1336.2,1170.05,14
Felipe Olivieri,1285.2,4/28/2018 1:26,1320.33,1110.18,20
Viviane Pereira,1285.11,6/23/2018 0:57,1411.73,1103.51,15
Marcel Fortuna,1284.85,11/11/2017 0:28,1402.1,1200.23,12
Bernardo Magalhaes,1284.79,8/16/2014 2:09,1376.14,1158.93,17
Todd Brown,1284.65,4/13/2013 1:12,1427.12,1106.42,26
Barb Honchak,1284.58,7/6/2018 1:55,1511.19,1136.91,26
Kyle Bochniak,1284.38,4/7/2018 1:26,1304.59,1130.35,15
Tim Sylvia,1284.35,10/26/2013 2:24,1606.55,1223.69,45
Neil Wain,1284.34,5/24/2014 2:24,1327.84,1106.94,17
Charles Rosa,1284.23,4/8/2017 1:26,1320.39,1101.11,17
Tom Murphy,1283.82,2/27/2010 1:40,1283.82,1087.76,9
Jonathan Brookins,1283.69,2/24/2017 1:40,1529.24,1236.92,30
Marcus Davis,1283.67,2/8/2014 4:04,1479.18,1187.46,37
Bruno Assis,1283.55,4/13/2018 1:12,1283.55,1106.47,11
Karen Darabedyan,1282.98,10/7/2017 1:40,1394.54,1167.66,20
Ibragim Magomedov,1282.67,6/6/2012 3:07,1460.3,1186.86,31
Joshua Burkman,1282.67,2/18/2018 0:28,1604.99,1314.28,47
Paulo Filho,1282.65,2/6/2014 3:07,1652.45,1274.43,32
Chad Griggs,1282.65,11/17/2012 1:26,1362.4,1137.66,14
Caol Uno,1282.53,4/23/2017 1:55,1469.09,1221.11,57
Rob Kimmons,1282.39,6/29/2013 3:07,1455.92,1140.26,40
Ryan Benoit,1282.25,11/18/2017 1:40,1282.25,1176.39,15
Jonathan Goulet,1282.21,11/13/2010 2:24,1446.8,1177.34,36
Niklas Backstrom,1282,7/22/2017 1:55,1347,1198.83,15
Kris McCray,1281.97,10/3/2015 3:21,1407.53,1206.31,20
Vitor Miranda,1281.85,7/22/2018 2:38,1402.55,1158.66,21
Mike Rhodes,1281.72,5/19/2018 2:38,1362.45,1214.88,20
Tor Troeng,1281.71,10/4/2014 0:43,1490.4,1186.18,32
Chad George,1281.58,1/20/2018 3:50,1284.94,1086.07,25
Jon Tuck,1281.53,8/25/2018 0:00,1344.78,1263.19,16
Charlie Valencia,1281.24,4/30/2011 0:57,1368.7,1233.72,19
Branden Lee Hinkle,1281.2,2/6/2016 1:40,1334.83,1155.82,29
Leonardo Morales,1281.05,6/9/2018 1:40,1288.1,1160.12,12
Augusto Mendes,1280.89,4/15/2017 1:12,1308.61,1186.25,9
Maiquel Falcao,1280.68,11/4/2017 2:38,1559.36,1178.85,51
Spencer Fisher,1280.43,6/22/2012 2:38,1525.82,1230.66,34
Bill Mahood,1280.3,5/29/2010 3:07,1350.97,1085.06,29
Jared Papazian,1280.07,4/29/2017 1:40,1353.7,1157.63,34
Daiki Hata,1280.03,9/16/2017 4:04,1490.99,1227.51,38
Gina Carano,1279.81,8/15/2009 2:09,1334.54,1159.45,8
Stanislav Nedkov,1279.79,1/24/2015 1:12,1439.72,1153.32,15
Justin Scoggins,1279.72,7/14/2018 1:12,1405.93,1188.29,18
Terry Martin,1279.36,8/19/2017 0:00,1474.44,1214.2,34
Sean Spencer,1279.31,9/10/2016 0:14,1383.29,1245.63,18
Enrique Marin,1279.13,3/17/2018 3:36,1281.52,1118.18,16
Lee Murray,1279.05,9/11/2004 2:38,1313.53,1109.19,12
Jamie Varner,1278.9,12/13/2014 1:12,1528.02,1240.8,35
Johnny Bedford,1278.84,9/9/2017 1:55,1412.63,1151.02,43
Devin Powell,1278.77,7/28/2018 0:14,1311.25,1097.49,16
Pablo Garza,1278.61,4/6/2013 2:09,1335.7,1170.69,17
Danny Martinez,1278.51,4/23/2017 1:40,1355.79,1137.21,30
Matt Hobar,1278.41,12/6/2014 0:28,1311.62,1144.54,13
Tim Credeur,1278.11,6/4/2011 2:09,1374.07,1149.28,21
Andy Murad,1277.94,6/29/2018 0:43,1332.99,1041.35,18
Keith Jardine,1277.64,7/14/2012 1:40,1430.86,1287.24,31
Chris Camozzi,1277.16,3/31/2018 1:26,1532.57,1279.55,39
Javy Ayala,1276.82,5/12/2018 3:50,1327.14,1225.94,17
Floyd Sword,1276.47,5/31/2008 3:36,1276.47,1075.85,15
Aaron Riley,1276.04,7/27/2013 0:28,1351.23,1137.58,45
Gabriel Carrasco,1276.01,12/4/2015 0:57,1276.01,1031.19,7
George Roop,1275.83,5/14/2016 2:52,1401.19,1233.36,32
Joey Gambino,1275.79,10/13/2012 0:57,1353.44,1153.64,11
Mike King,1275.54,7/19/2014 0:57,1368.69,1132.59,12
John Gunderson,1275.53,6/7/2014 1:40,1433.71,1141.55,53
Alexandre Barros,1275.31,5/19/2018 1:40,1397.08,1135.39,35
Yuri Villefort,1275.06,8/16/2018 0:00,1320.8,1189.28,18
Josh Shockley,1274.74,2/22/2015 0:14,1368.07,1145.61,18
Antonio Silva,1274.58,6/2/2017 1:55,1643.99,1389.28,32
Benji Radach,1274.51,5/15/2015 2:09,1419.68,1159.85,29
Ryuichi Murata,1274.51,6/29/2008 1:55,1338.1,1146.16,12
Daniel Roberts,1274.31,4/26/2015 1:12,1459.42,1239.39,22
Bobby Hoffman,1274.29,8/12/2006 0:00,1465.23,1127.73,49
Alex Serdyukov,1274.2,3/1/2009 1:12,1345.93,1229.05,13
Motonobu Tezuka,1273.85,9/9/2018 0:00,1415.83,1139.89,51
Dustin Kimura,1273.33,12/13/2014 0:28,1431.96,1125,17
Kwan Ho Kwak,1273.31,6/17/2017 0:43,1359.8,1136.13,11
Nick Barnes,1273,7/20/2018 2:52,1367.51,1144.78,17
Matt Secor,1272.74,5/4/2018 1:55,1313.33,1132.37,22
Jason Reinhardt,1272.49,8/14/2011 0:14,1430.04,1045.61,24
Felipe Arantes,1272.46,6/23/2018 1:55,1429.76,1173.53,31
Denis Kang,1272.23,12/31/2012 0:57,1587.39,1202.28,55
Shane Nelson,1272.08,6/21/2014 3:07,1384.95,1157.8,25
Adam Yandiev,1271.7,9/15/2018 0:00,1302.27,1052.43,10
Marloes Coenen,1271.57,3/3/2017 2:09,1403.33,1164.25,31
Darrell Montague,1271.21,7/12/2015 0:14,1410.23,1164.75,18
Tony DeSouza,1270.66,12/13/2012 0:57,1342.09,1167.84,15
Brandon Davis,1270.35,9/8/2018 0:00,1321.11,1119.06,22
Aisling Daly,1270.26,10/24/2015 1:12,1344.45,1154.71,24
Paul Taylor,1269.88,2/5/2011 0:43,1269.88,1187.07,19
Art Santore,1269.88,3/12/2010 2:24,1350.26,1159.49,26
Randa Markos,1269.87,9/22/2018 0:00,1334.86,1197.48,24
Lukasz Sajewski,1269.87,10/8/2016 0:43,1404.37,1121.53,16
Paul Bradley,1269.46,8/30/2018 0:00,1422.97,1215.45,36
Dave Menne,1269.27,3/31/2012 2:09,1507.46,1153.9,64
Guido Cannetti,1269.26,5/19/2018 2:24,1294.3,1177.06,13
Yoislandy Izquierdo,1268.8,6/22/2018 3:07,1286.76,1149.31,15
Hans Stringer,1268.73,9/17/2016 1:55,1446.54,1139.5,28
Clint Hester,1268.72,4/23/2016 0:28,1446.34,1218.17,19
Mike Santiago,1268.72,6/9/2018 0:14,1424.52,1142.41,32
Jason MacDonald,1268.58,5/15/2012 1:40,1437.05,1235.2,41
Josh Appelt,1268.54,7/24/2018 0:28,1298.2,1117.19,22
Ricardo Romero,1268.47,9/24/2011 0:14,1391.97,1123.69,15
Igor Pokrajac,1268.33,4/10/2016 2:09,1453.66,1174.66,42
Roger Hollett,1268.08,5/18/2013 0:57,1362.63,1143.91,18
Chris Leben,1268.04,12/28/2013 1:26,1464.85,1251.82,39
Jordan Williams,1268,6/26/2018 0:14,1268,1079.42,12
Ben Earwood,1267.7,12/16/2001 1:26,1330.22,1067.62,17
Lance Benoist,1267.67,6/7/2014 0:57,1274.34,1172.21,9
Adam Lynn,1267.59,8/10/2012 2:09,1393.47,1141.89,28
Magno Almeida,1267.57,7/13/2012 1:55,1360.96,1133.13,14
Frank Camacho,1267.49,9/8/2018 0:00,1364.31,1142.99,30
Maciej Jewtuszko,1267.48,10/22/2017 1:12,1342.98,1174.04,15
Elvis Mutapcic,1267.38,5/20/2017 2:09,1433.37,1191.79,25
Eliot Marshall,1267.24,10/29/2011 0:57,1370.98,1178.32,18
Sam Stout,1267.24,8/23/2015 1:26,1467.49,1273.28,33
Darren Uyenoyama,1267.17,11/18/2016 1:40,1321.28,1200.98,16
Jesse Juarez,1266.78,8/21/2016 1:26,1438.74,1202.75,35
Josh Stansbury,1266.56,6/25/2017 0:14,1388.92,1147.01,26
Sodiq Yusuff,1266.56,7/24/2018 0:43,1266.56,1161.13,9
Justin McCully,1266.38,12/16/2011 2:09,1291.07,1107.73,18
Mark Hominick,1266.16,11/17/2012 1:55,1494.18,1229.09,32
Derrick Noble,1266.09,5/12/2012 1:26,1393.6,1152.28,43
Ian Entwistle,1266.07,4/10/2016 1:26,1316.51,1088.34,17
Tyson Griffin,1266.05,8/4/2018 2:09,1539.68,1319.25,25
Dan Bobish,1265.55,10/19/2007 2:52,1298,1103.51,26
Hiromitsu Miura,1265.32,7/2/2017 4:19,1336.88,1182.35,18
Dylan Andrews,1265.25,12/9/2017 3:07,1447.06,1170.37,30
Duane Ludwig,1265.07,9/29/2012 1:26,1366.71,1222.31,35
Lazar Stojadinovic,1264.98,7/18/2017 0:43,1308.05,1114.39,15
Chris Price,1264.63,2/10/2012 3:36,1340.89,1065.35,23
Hayder Hassan,1264.26,4/5/2018 3:07,1346.71,1184.06,17
Anthony Christodoulou,1264.21,11/4/2017 2:24,1355.65,1141.49,20
Yves Edwards,1263.84,11/22/2014 0:43,1562.44,1233.35,66
Larissa Pacheco,1263.77,3/24/2018 3:21,1333.89,1088.5,13
Ryan Healy,1263.56,10/3/2014 1:26,1350.05,1168.78,40
Roxanne Modafferi,1263.14,11/3/2018 0:00,1410.64,1205.07,42
Frankie Perez,1263.05,6/8/2018 1:40,1319.5,1160.27,17
Mara Romero Borella,1262.71,1/27/2018 1:26,1296.64,1081.63,18
Greg Hardy,1262.7,9/29/2018 0:00,1262.7,1068.06,6
Henrique da Silva,1262.68,5/12/2018 2:24,1463.28,1134.24,18
Guy Mezger,1262.33,12/6/2003 2:09,1451.28,1133.62,46
Ken Stone,1261.83,8/11/2012 0:43,1311.79,1113.9,16
Anthony Morrison,1261.53,6/10/2017 2:38,1390.62,1115.39,40
Mike de la Torre,1261.51,5/18/2018 0:28,1381.9,1186.42,24
James Wilks,1260.97,10/16/2010 1:26,1305.73,1140.91,13
Roger Narvaez,1260.82,6/10/2017 1:55,1338.89,1111.56,15
Albert Morales,1260.35,2/24/2018 0:14,1361.43,1220.55,16
Pat Miletich,1260.35,12/11/2008 2:24,1427.37,1114.69,38
Mike Rodriguez,1260.11,4/7/2018 0:14,1306.95,1059.11,16
Takeshi Inoue,1259.9,5/13/2018 2:24,1470.64,1212.78,34
Teruto Ishihara,1259.85,6/23/2018 2:09,1425.93,1208.08,20
Guilherme Vasconcelos,1259.5,1/20/2018 1:12,1259.5,1167.55,15
Ivan Jorge,1259.29,8/12/2017 3:21,1473.23,1156.68,36
Brad Pickett,1259.22,3/18/2017 2:09,1481.32,1231.1,40
Joe Gigliotti,1259.18,12/9/2016 1:26,1330.93,1152.28,10
Mitch Clarke,1259.11,9/9/2017 0:43,1374.7,1187.71,16
Kestutis Smirnovas,1259.08,11/15/2014 0:57,1399.45,1093.01,31
Akbarh Arreola,1258.66,4/24/2016 2:38,1411.87,1165.52,36
Jianping Yang,1258.51,10/31/2015 0:43,1258.51,1015.58,17
Evangelista Santos,1258.46,7/16/2016 2:24,1332.82,1204.32,39
Ron Stallings,1257.74,8/5/2016 0:28,1274.82,1122.69,23
Bethe Correia,1257.58,6/17/2017 2:52,1351.76,1173.58,14
Papy Abedi,1257.45,5/19/2018 2:38,1307.04,1157.5,15
Martin Day,1257.3,8/4/2018 1:55,1257.3,1068.65,11
Nick Penner,1257.22,12/15/2012 0:14,1367.57,1121.69,14
Ryan McGivern,1256.61,4/29/2010 1:12,1344.73,1211.71,20
Bret Bergmark,1256.36,6/26/2010 0:43,1256.36,1204.21,7
Yasuhito Namekawa,1256.3,10/23/2008 2:52,1295.05,1050.92,45
Aiemann Zahabi,1255.97,11/4/2017 0:14,1293.5,1086.43,8
Anthony Birchak,1255.89,12/29/2017 0:57,1407.19,1208.29,20
Rob Sinclair,1255.83,7/7/2017 3:07,1408.04,1169.61,18
Joachim Christensen,1255.42,11/25/2017 1:55,1414.36,1193.35,21
