name,ELO_x,prevdate,Best_Rating_to_Date,Avg_Elo_of_opponets,frFX
Thiago Moises,1383.36,6/1/2018 3:36,1396.21,1188.02,12
Jim Crute,1383.24,7/24/2018 0:57,1383.24,1114.96,10
Dakota Cochrane,1383.09,7/28/2018 2:24,1475.26,1203.99,49
Royce Gracie,1383.03,2/19/2016 3:07,1386.96,1159.52,20
Lucio Linhares,1382.94,10/5/2013 1:40,1396.26,1203.86,27
Pedro Rizzo,1382.91,9/12/2015 2:09,1444.47,1288.34,31
Mike Campbell,1382.88,2/1/2013 2:38,1382.88,1174.12,17
Wagner Prado,1382.87,6/9/2018 0:43,1382.87,1140.73,18
Sijara Eubanks,1382.8,11/3/2018 0:00,1382.8,1216.25,10
Marcin Bandel,1382.21,2/24/2018 2:24,1382.21,1130.48,21
Liz Carmouche,1381.95,7/14/2018 0:43,1381.95,1246.09,18
Hakeem Dawodu,1381.58,7/28/2018 1:55,1385.98,1240.96,10
Michinori Tanaka,1381.57,10/29/2017 2:24,1421.99,1225.7,15
Sidney Outlaw,1381.43,6/29/2018 2:38,1381.43,1126,19
Johnny Walker,1381.34,3/17/2018 2:52,1381.34,1107.57,15
Jennifer Maia,1381.18,7/14/2018 0:43,1449.9,1174.15,20
Cat Zingano,1380.87,7/14/2018 1:55,1466.43,1212.47,17
Semmy Schilt,1380.37,12/31/2008 1:12,1473.44,1212.03,41
Joey Villasenor,1380.08,6/2/2012 2:09,1488.11,1173.8,39
Michelle Waterson,1380.07,10/6/2018 0:00,1380.07,1124.82,22
Christos Giagos,1379.89,9/22/2018 0:00,1409.39,1230.56,22
Diego Nunes,1379.77,5/6/2018 1:40,1500.73,1231.96,30
Ednaldo Oliveira,1379.38,9/23/2017 2:52,1404.27,1120.76,23
Genki Sudo,1379.01,12/31/2006 1:40,1386.92,1108.94,21
Kiyoshi Tamura,1378.95,12/31/2008 2:24,1498.56,1207.37,48
Colton Smith,1378.21,4/30/2016 1:12,1408.89,1224.73,17
Javier Vazquez,1378.12,6/26/2011 1:26,1378.12,1171.43,21
Gasan Umalatov,1377.97,10/20/2018 4:30,1377.97,1157.77,26
Ryo Chonan,1377.87,10/20/2013 2:38,1404.82,1222.48,35
Brock Larson,1377.85,2/5/2016 2:52,1601.6,1155.23,52
Ernest Chavez,1377.39,12/11/2015 2:09,1377.39,1173.7,12
Zachary Micklewright,1377.32,12/13/2014 1:40,1377.32,1082.81,24
Viscardi Andrade,1377.02,5/5/2018 2:52,1475.17,1162.58,29
Joe Lauzon,1376.75,4/7/2018 1:12,1541.93,1294.04,50
Alessio Di Chirico,1376.72,7/6/2018 1:40,1376.72,1149.58,17
Alex Morono,1376.29,7/28/2018 2:09,1430.84,1148.16,22
Satoshi Ishii,1376.18,10/21/2017 1:26,1509.28,1276.68,27
Ian Freeman,1375.93,7/27/2013 1:40,1375.93,1134.59,28
Devin Clark,1375.75,4/7/2018 0:14,1380.63,1140.12,16
Zak Ottow,1375.68,7/14/2018 2:52,1430.86,1179.37,22
Carla Esparza,1375.2,9/8/2018 0:00,1489.39,1253.96,22
Jess Liaudin,1374.67,5/13/2012 2:09,1374.67,1115.09,33
Brian Bowles,1374.54,5/25/2013 0:28,1483.12,1257.4,14
Mike Swick,1374.5,7/11/2015 1:12,1569.24,1309.28,22
Stephan Bonnar,1374.2,11/15/2014 2:52,1438.22,1281.56,26
Mike Ciesnolevicz,1373.93,5/28/2011 1:26,1398.79,1108.86,25
Alex Caceres,1373.88,7/6/2018 2:09,1414.59,1279,29
Tamdan McCrory,1373.83,10/1/2016 0:57,1468.77,1231.79,19
Shane Carwin,1373.63,6/11/2011 2:52,1476.65,1181.82,14
Alex Garcia,1373.54,10/27/2018 0:00,1468.01,1263.4,21
Viktor Pesta,1373.09,7/9/2018 2:24,1409.3,1217.01,18
Holly Holm,1372.69,6/9/2018 2:38,1471.18,1267.47,16
Cory Devela,1372.65,3/12/2016 2:24,1455.46,1181.41,25
Ricky Rainey,1372.49,4/14/2018 2:09,1433.3,1198.83,20
Dean Lister,1372.37,1/17/2015 3:07,1419.36,1264.09,20
LC Davis,1371.93,12/2/2016 1:26,1495.55,1214.5,31
Doug Marshall,1371.86,9/19/2014 2:38,1442.67,1193.23,26
Yoshiro Maeda,1371.37,6/17/2018 2:09,1407.85,1190.26,57
Daniel Pineda,1371.35,3/9/2018 0:28,1423.98,1194.05,36
Jerrod Sanders,1371.1,4/27/2018 1:55,1450.48,1162.11,23
